Party_Name,Chair,Founded,Telephone,Address,Member_Count
Doğru Parti,Arda ATEŞ,26.08.2020,,Cemal Nadir Sokak No:20 Çankaya/ANKARA,1.661
Türkiye Emekliler ve Çalışanlar Partisi,Cengiz ERTEN,08.01.2024,,TEPEALTI MAH. GÜRLER SK. NO: 118 / 1 YENİMAHALLE/ANKARA,761
Doğru Yol Partisi,Cenk KÜPELİ,28/05/2007,0312 4464198,KAZIM ÖZALP MAH. ZİAUR RAHMAN CAD. NO:13/1 ÇANKAYA ANKARA,4.193
Türkiye Emekliler ve Emekçiler Partisi,Ergin DURSUN,22.07.2024,,Hacı Bayram Mah. Anafartalar Cad. No: 50/12 Ulus Altındağ/ANKARA,0
Doğuş Partisi,Mahmut KARALAR,05.04.2021,,Doğantepe Mahallesi 1048. Cadde No:50/B Altındağ/ANKARA,2.196
Türkiye Emekliler Partisi,Oktay AKÇIN,14.11.2023,,Oğuzlar Mah. 1397. Cad. No: 11/1 Çankaya/ANKARA,767
Ebedi Nizam Partisi,Seyfettin KOÇAN,30/11/2007,229 97 83,GMK Bulvarı  Fevzi Çakmak 2. Sk. No:34/13 Kızılay/Ankara,79
Türkiye İşçi Partisi,Erkan BAŞ,07.11.2017,0312 417 93 70,Kocatepe Mah. Selanik Cad. No: 41/7 Çankaya/ANKARA,44.072
Egemen Türkiye Partisi,Alpaslan TEKTAŞ,10.10.2024,,Hacı Bayram Mah. Rüzgarlı Cad. No:18/27 Altındağ/Ankara,0
Türkiye İttifakı Partisi,Mehmet SAĞLAM,24.12.2020,,Yukarı Öveçler Mah. 1290 Sokak No:4 ÇANKAYA-ANKARA,9.060
Emek Partisi,Seyit ASLAN,25/11/1996,232 41 97-98,Necatibey Cd. No: 88/3 Çankaya / ANKARA,5.004
Türkiye Komünist Hareketi,Aysel TEKEREK,21.08.2015,-,Kültür Mah. Yüksel Cad. No:34/14 Kızılay/ANKARA,887
Emekçi Hareket Partisi,Hakan ÖZTÜRK,05/01/2004,232 41 97-98,BAYINDIR SOK 22/16 KIZILAY ANKARA,242
Türkiye Komünist Partisi,KEMAL İBRAHİM OKUYAN,16.08.1993,4172968,Kavaklıdere Mah. Kızılırmak Cad. No:13 Demet Apartmanı Daire:4 Çankaya/ANKARA,7.208
Emekliler ve Yurttaşlar Partisi,Ali Yücel İNEGÖLLÜ,15.10.2024,,ETİ MAH. STRAZBURG CD. NO: 32 / 14 KAT:4 ÇANKAYA/ANKARA,0
Evrensel Medeniyet Partisi,Burhan EROL,14.02.2024,0542 214 83 66,İVEDİK OSB mah. 1469 CD. NO: 18 Kat:3 YENİMAHALLE/ANKARA,0
Türkiye Güven Partisi,Mehmet Ali KUMRU,09.11.2023,,Kızılay Mahallesi Fevzi Çakmak-1 13 / 6 ÇANKAYA-ANKARA,80
Ezilenlerin Sosyalist Partisi,HATİCE DENİZ AKTAŞ - MURAT ÇEPNİ,05/02/2010,417 07 85,Mithatpaşa Cad. No:56/13 Kızılay/Ankara,418
Türkiye Sosyalist İşçi Partisi,Turgut KOÇAK,03.01.1993,419 60 53,KARANFİL SK N0:24/16 KAT:5 KIZILAY/ANKARA,146
Gelecek Partisi,Ahmet DAVUTOĞLU,12.12.2019,,Mustafa Kemal Mahallesi 2127. Cadde No:7  - ÇANKAYA/ANKARA,64.389
